우선순위,대분류,소분류,특성명(KR),관련 아이템,관련 대피소 특성,대피소 소분류,자동 분류,비고
,"능력, 직업",역할 수행,건축 기술자,,,,❌,
,"능력, 직업",역할 수행,소방관,,,,❌,
,"능력, 직업",역할 수행,IT 전문가,,,,❌,
,"능력, 직업",역할 수행,전기 기술자,,,,❌,
,"능력, 직업","역할 수행, 의료",의료인,,,,❌,
,"능력, 언어적 배경, 직업","언어, 역할 수행",다중 언어 구사,필기도구,,,❌,
,"능력, 직업","역할 수행, 정신 건강, 종교",종교인,,,,,
,대상,"동반자, 장애",안내견,목줄,,,,
,대상,동반자,가족돌봄청년,,,,❌,
,대상,동반자,임신,,,,❌,
,대상,"동반자, 연령",청소년,,,,❌,
,대상,동반자,1인 가구,긴급 연락처,,,❌,
,대상,동반자,반려동물 및 정서지원동물,"목줄, 케이지",,,❌,
⭐⭐⭐,대상,"동반자, 연령",노약자,"긴급 연락처, 지팡이",경사로 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EA%B2%BD%EC%82%AC%EB%A1%9C%2020238e82116680358aa0c3b9541f192a.md),무장애,❌,
⭐⭐⭐,대상,"동반자, 연령",영/유아,유모차,"수유실 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EC%88%98%EC%9C%A0%EC%8B%A4%2020238e821166808d919bf22e397dc476.md), 경사로 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EA%B2%BD%EC%82%AC%EB%A1%9C%2020238e82116680358aa0c3b9541f192a.md)","가정 지원,무장애",❌,
,대상,성정체성,트랜스젠더,,,,❌,
,대상,성정체성,성소수자,,,,❌,
,대상,성정체성,여성,,,,❌,
,대상,신원 특성,건강보험 미가입자,,,,❌,
,대상,신원 특성,성범죄자,,,,❌,
,대상,신원 특성,무등록자,,,,❌,
,대상,신원 특성,홈리스,,,,❌,
,대상,신원 특성,난민,,,,❌,
,대상,신원 특성,불법체류자,,,,❌,
,지리적 특징,위치,원자력 발전소 인근,,,,✔,
,지리적 특징,위치,군부대 인근,,,,✔,
,지리적 특징,위치,국경 지대,,,,✔,
,지리적 특징,위치,하천 인근,,,,✔,
,지리적 특징,위치,시골,,,,✔,
,지리적 특징,위치,섬,,,,✔,
,지리적 특징,위치,해안 인근,,,,✔,
,지리적 특징,위치,산 인근,,,,✔,
,지리적 특징,위치,도시,,,,✔,
⭐⭐⭐,지리적 특징,위치,학교,,,,❌,
⭐⭐⭐,지리적 특징,위치,회사,,,,❌,
⭐⭐⭐,지리적 특징,위치,집,,최단 거리 (../../../%5Bpublic%5D%20%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4/%EC%95%88%EC%8B%AC%EC%9C%84%ED%82%A4DB/%EB%8C%80%ED%94%BC%EC%86%8C/%EB%8C%80%ED%94%BC%EC%86%8C/%EC%B5%9C%EB%8B%A8%20%EA%B1%B0%EB%A6%AC%2020238e82116680799969cb0d9adb46f4.md),,❌,
,지리적 특징,건물 특성,아파트 단지 거주,,,,,
,지리적 특징,건물 특성,"집합시설(요양시설, 기숙사 등)",,,,✔,
⭐⭐⭐,지리적 특징,건물 특성,지하/반지하,,,,❌,
⭐⭐⭐,지리적 특징,건물 특성,좁은 골목,,,,✔,
⭐⭐⭐,지리적 특징,건물 특성,저지대,,,,✔,
⭐⭐⭐,지리적 특징,건물 특성,고층,,,,❌,
,라이프스타일,건물 특성,자가용 보유,,,,❌,
,"라이프스타일, 언어적 배경",언어,스마트폰이 없음,긴급 연락처,,,❌,
,"라이프스타일, 문화적 배경, 신체 특성","기저질환, 종교",채식주의,채식주의 식량,,,❌,
,라이프스타일,취미,등산,등산 스틱,,,❌,
,,,,,,,,
